id,skill_id,prerequisite_id
247,binomial_theorem_term,binomial_theorem_expand
248,binomial_theorem_term,combination_repetition_h
249,binomial_theorem_term,combination_grouping
250,prob_sample_space,binomial_theorem_term
251,prob_classical_definition,prob_sample_space
252,prob_complementary,prob_classical_definition
253,prob_complementary,prob_sample_space
254,prob_mutually_exclusive,prob_complementary
255,prob_mutually_exclusive,prob_classical_definition
256,prob_mutually_exclusive,prob_sample_space
257,prob_addition_rule,prob_mutually_exclusive
258,prob_addition_rule,prob_complementary
259,prob_addition_rule,prob_classical_definition
260,prob_expected_value,prob_addition_rule
261,prob_ev_application,prob_expected_value
262,data_mean_median_percentile,prob_ev_application
263,data_weighted_geometric_mean,data_mean_median_percentile
264,data_range_variance_stddev,data_weighted_geometric_mean
265,data_range_variance_stddev,data_mean_median_percentile
266,data_linear_transform,data_range_variance_stddev
267,data_linear_transform,data_weighted_geometric_mean
268,data_linear_transform,data_mean_median_percentile
269,data_standardization_zscore,data_linear_transform
270,data_standardization_zscore,data_range_variance_stddev
271,data_standardization_zscore,data_weighted_geometric_mean
272,data_scatter_plot,data_standardization_zscore
273,data_correlation_coefficient_r,data_scatter_plot
274,data_r_properties,data_correlation_coefficient_r
275,data_r_properties,data_scatter_plot
276,data_regression_line,data_r_properties
277,data_regression_line,data_correlation_coefficient_r
278,data_regression_line,data_scatter_plot
279,data_regression_predict,data_regression_line
280,data_regression_predict,data_r_properties
281,data_regression_predict,data_correlation_coefficient_r
282,trig_acute_definition,data_regression_predict
283,trig_special_angles,trig_acute_definition
284,trig_quotient_relation,trig_special_angles
285,trig_quotient_relation,trig_acute_definition
286,trig_pythagorean_relation,trig_quotient_relation
287,trig_pythagorean_relation,trig_special_angles
288,trig_pythagorean_relation,trig_acute_definition
289,trig_complementary_relation,trig_pythagorean_relation
290,trig_complementary_relation,trig_quotient_relation
291,trig_complementary_relation,trig_special_angles
292,trig_generalized_angle,trig_complementary_relation
293,trig_generalized_angle,trig_pythagorean_relation
294,trig_generalized_angle,trig_quotient_relation
295,trig_generalized_definition,trig_generalized_angle
296,trig_generalized_definition,trig_complementary_relation
297,trig_generalized_definition,trig_pythagorean_relation
298,trig_signs_astc,trig_generalized_definition
299,trig_signs_astc,trig_generalized_angle
300,trig_signs_astc,trig_complementary_relation
301,trig_conversion_formulas,trig_signs_astc
302,trig_conversion_formulas,trig_generalized_definition
303,trig_conversion_formulas,trig_generalized_angle
304,trig_polar_coordinates,trig_conversion_formulas
305,trig_polar_coordinates,trig_signs_astc
306,trig_polar_coordinates,trig_generalized_definition
307,trig_area_formula,trig_polar_coordinates
308,trig_area_formula,trig_conversion_formulas
309,trig_area_formula,trig_signs_astc
310,trig_law_of_sines,trig_area_formula
311,trig_law_of_sines,trig_polar_coordinates
312,trig_law_of_sines,trig_conversion_formulas
313,trig_law_of_cosines,trig_law_of_sines
314,trig_law_of_cosines,trig_area_formula
315,trig_law_of_cosines,trig_polar_coordinates
316,trig_herons_formula,trig_law_of_cosines
317,trig_herons_formula,trig_law_of_sines
318,trig_herons_formula,trig_area_formula
319,trig_measurement,trig_herons_formula
320,trig_measurement,trig_law_of_cosines
321,trig_measurement,trig_law_of_sines
322,trig_degree_to_radian,trig_measurement
323,trig_arc_length,trig_degree_to_radian
324,trig_sector_area,trig_arc_length
325,trig_sector_area,trig_degree_to_radian
326,trig_graph_sin,trig_sector_area
327,trig_graph_sin,trig_arc_length
328,trig_graph_sin,trig_degree_to_radian
329,trig_graph_cos,trig_graph_sin
330,trig_graph_cos,trig_sector_area
331,trig_graph_cos,trig_arc_length
332,trig_graph_tan,trig_graph_cos
333,trig_graph_tan,trig_graph_sin
334,trig_graph_tan,trig_sector_area
335,trig_graph_properties,trig_graph_tan
336,trig_graph_properties,trig_graph_cos
337,trig_graph_properties,trig_graph_sin
338,trig_graph_transform,trig_graph_properties
339,trig_graph_transform,trig_graph_tan
340,trig_graph_transform,trig_graph_cos
341,trig_sum_diff_sin,trig_graph_transform
342,trig_sum_diff_sin,trig_graph_properties
343,trig_sum_diff_sin,trig_graph_tan
344,trig_sum_diff_cos,trig_sum_diff_sin
345,trig_sum_diff_cos,trig_graph_transform
346,trig_sum_diff_cos,trig_graph_properties
347,trig_sum_diff_tan,trig_sum_diff_cos
348,trig_sum_diff_tan,trig_sum_diff_sin
349,trig_sum_diff_tan,trig_graph_transform
350,trig_double_angle,trig_sum_diff_tan
