strategy,student_type,episode_id,step,effective_max_steps,phase,route,focus_skill,target_skill,active_skill,active_family,hit_subskill,progression_gate_active,foundation_mastery_mean,polynomial_mastery,mastery_before,mastery_after,integer_mastery,fraction_mastery,radical_mastery,zpd_gain_scale,weakest_subskill_mastery,prerequisite_transfer_bonus,rag_triggered,rag_bonus,rag_intervention_count,rag_tier,rag_decay_factor,rag_bonus_after_decay,is_correct,correct,was_remediation,was_unnecessary_remediation,is_return_to_mainline,fail_streak,sign_handling_mastery,combine_like_terms_mastery,sign_distribution_mastery,expand_monomial_mastery,expand_binomial_mastery,family_isomorphism_mastery
AB3_PPO_Dynamic,Careless,3,2,40,mainline,mainline,family_isomorphism,polynomial,polynomial,poly_mixed_simplify,family_isomorphism,False,,0.743759,0.757075,0.743759,0.788366,0.582209,0.837485,1.0,0.582209,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.732753,0.918129,0.791108,0.924614,0.837485,0.582209
AB3_PPO_Dynamic,Careless,3,3,40,mainline,mainline,family_isomorphism,polynomial,polynomial,poly_mixed_simplify,family_isomorphism,False,,0.787971,0.743759,0.787971,0.796466,0.690209,0.837485,1.2,0.690209,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.732753,0.945129,0.791108,0.924614,0.837485,0.690209
AB3_PPO_Dynamic,Careless,3,4,40,mainline,mainline,sign_handling,polynomial,polynomial,poly_add_sub_nested,sign_handling,False,,0.804914,0.787971,0.804914,0.844623,0.690209,0.837485,0.75,0.690209,0.006044,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.80116,0.946036,0.80889,0.924614,0.837485,0.690209
AB3_PPO_Dynamic,Careless,4,1,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.709306,0.714744,0.709306,0.874645,0.764778,0.853576,1.0,0.513139,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.884406,0.85187,0.746528,0.513139,0.853576,0.764778
AB3_PPO_Dynamic,Careless,4,2,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.696619,0.709306,0.696619,0.874645,0.764778,0.853576,1.0,0.478139,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,2,0.884406,0.85187,0.746528,0.478139,0.853576,0.764778
AB3_PPO_Dynamic,Careless,4,3,40,remediation,remediation,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.738901,0.696619,0.738901,0.874645,0.764778,0.853576,1.2,0.594779,0.0,0,0.0,0,,1.0,0.0,1,1,1,0,0,0,0.884406,0.85187,0.746528,0.594779,0.853576,0.764778
AB3_PPO_Dynamic,Careless,4,4,40,remediation,remediation,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.735094,0.738901,0.735094,0.874645,0.764778,0.853576,1.0,0.584279,0.0,0,0.0,0,,1.0,0.0,0,0,1,0,0,1,0.884406,0.85187,0.746528,0.584279,0.853576,0.764778
AB3_PPO_Dynamic,Careless,4,5,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.729657,0.735094,0.729657,0.874645,0.764778,0.853576,1.0,0.569279,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,1,2,0.884406,0.85187,0.746528,0.569279,0.853576,0.764778
AB3_PPO_Dynamic,Careless,4,6,40,remediation,remediation,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.725851,0.729657,0.725851,0.874645,0.764778,0.853576,1.0,0.558779,0.0,0,0.0,0,,1.0,0.0,0,0,1,0,0,3,0.884406,0.85187,0.746528,0.558779,0.853576,0.764778
AB3_PPO_Dynamic,Careless,4,7,40,remediation,remediation,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.768133,0.725851,0.768133,0.874645,0.764778,0.853576,1.2,0.675419,0.0,0,0.0,0,,1.0,0.0,1,1,1,0,0,0,0.884406,0.85187,0.746528,0.675419,0.853576,0.764778
